Timestamp,FIT-104-SoftWaterSupply-02_Total(m³)
09-Jan-26 7:00:00 PM ICT,1075.0
09-Jan-26 8:00:00 PM ICT,1077.0
09-Jan-26 9:00:00 PM ICT,1079.0
09-Jan-26 10:00:00 PM ICT,1080.5
09-Jan-26 11:00:00 PM ICT,1082.5
10-Jan-26 12:00:00 AM ICT,1084.5
10-Jan-26 1:00:00 AM ICT,1086.3
10-Jan-26 2:00:00 AM ICT,1088.0
10-Jan-26 3:00:00 AM ICT,1089.0
10-Jan-26 4:00:00 AM ICT,1089.3
10-Jan-26 5:00:00 AM ICT,1090.5
10-Jan-26 6:00:00 AM ICT,1092.5
10-Jan-26 7:00:00 AM ICT,1094.5
10-Jan-26 8:00:00 AM ICT,1096.3
10-Jan-26 9:00:00 AM ICT,1098.0
10-Jan-26 10:00:00 AM ICT,1099.5
10-Jan-26 11:00:00 AM ICT,1103.5
10-Jan-26 12:00:00 PM ICT,1107.0
10-Jan-26 1:00:00 PM ICT,1108.5
10-Jan-26 2:00:00 PM ICT,1110.0
10-Jan-26 3:00:00 PM ICT,1112.0
10-Jan-26 4:00:00 PM ICT,1114.8
10-Jan-26 5:00:00 PM ICT,1116.5
10-Jan-26 6:00:00 PM ICT,1118.0
10-Jan-26 7:00:00 PM ICT,1119.5
10-Jan-26 8:00:00 PM ICT,1121.0
10-Jan-26 9:00:00 PM ICT,1122.5
10-Jan-26 10:00:00 PM ICT,1123.8
10-Jan-26 11:00:00 PM ICT,1125.3
11-Jan-26 12:00:00 AM ICT,1126.8
11-Jan-26 1:00:00 AM ICT,1128.3
11-Jan-26 2:00:00 AM ICT,1129.5
11-Jan-26 3:00:00 AM ICT,1131.3
11-Jan-26 4:00:00 AM ICT,1132.5
11-Jan-26 5:00:00 AM ICT,1133.8
11-Jan-26 6:00:00 AM ICT,1135.5
11-Jan-26 7:00:00 AM ICT,1136.8
11-Jan-26 8:00:00 AM ICT,1138.5
11-Jan-26 9:00:00 AM ICT,1139.8
11-Jan-26 10:00:00 AM ICT,1141.3
11-Jan-26 11:00:00 AM ICT,1142.8
11-Jan-26 12:00:00 PM ICT,1144.3
11-Jan-26 1:00:00 PM ICT,1145.8
11-Jan-26 2:00:00 PM ICT,1147.3
11-Jan-26 3:00:00 PM ICT,1148.8
11-Jan-26 4:00:00 PM ICT,1150.5
11-Jan-26 5:00:00 PM ICT,1152.0
11-Jan-26 6:00:00 PM ICT,1153.5
11-Jan-26 7:00:00 PM ICT,1155.3
11-Jan-26 8:00:00 PM ICT,1156.8
11-Jan-26 9:00:00 PM ICT,1158.5
11-Jan-26 10:00:00 PM ICT,1160.0
11-Jan-26 11:00:00 PM ICT,1161.0
12-Jan-26 12:00:00 AM ICT,1161.5
12-Jan-26 1:00:00 AM ICT,1163.0
12-Jan-26 2:00:00 AM ICT,1164.0
12-Jan-26 3:00:00 AM ICT,1164.0
12-Jan-26 4:00:00 AM ICT,1164.0
12-Jan-26 5:00:00 AM ICT,1164.0
12-Jan-26 6:00:00 AM ICT,1164.0
12-Jan-26 7:00:00 AM ICT,1164.0
12-Jan-26 8:00:00 AM ICT,1164.0
12-Jan-26 9:00:00 AM ICT,1164.0
12-Jan-26 10:00:00 AM ICT,1165.0
12-Jan-26 11:00:00 AM ICT,1166.0
12-Jan-26 12:00:00 PM ICT,1166.8
12-Jan-26 1:00:00 PM ICT,1168.5
12-Jan-26 2:00:00 PM ICT,1170.5
12-Jan-26 3:00:00 PM ICT,1172.3
12-Jan-26 4:00:00 PM ICT,1173.5
12-Jan-26 5:00:00 PM ICT,1174.0
12-Jan-26 6:00:00 PM ICT,1174.8
12-Jan-26 7:00:00 PM ICT,1175.0
12-Jan-26 8:00:00 PM ICT,1175.0
12-Jan-26 9:00:00 PM ICT,1175.0
12-Jan-26 10:00:00 PM ICT,1175.3
12-Jan-26 11:00:00 PM ICT,1176.0
13-Jan-26 12:00:00 AM ICT,1176.0
13-Jan-26 1:00:00 AM ICT,1176.0
13-Jan-26 2:00:00 AM ICT,1176.8
13-Jan-26 3:00:00 AM ICT,1177.3
13-Jan-26 4:00:00 AM ICT,1178.5
13-Jan-26 5:00:00 AM ICT,1180.0
13-Jan-26 6:00:00 AM ICT,1181.5
13-Jan-26 7:00:00 AM ICT,1183.0
13-Jan-26 8:00:00 AM ICT,1184.5
13-Jan-26 9:00:00 AM ICT,1186.0
13-Jan-26 10:00:00 AM ICT,1187.5
13-Jan-26 11:00:00 AM ICT,1189.5
13-Jan-26 12:00:00 PM ICT,1192.0
13-Jan-26 1:00:00 PM ICT,1194.3
13-Jan-26 2:00:00 PM ICT,1197.0
13-Jan-26 3:00:00 PM ICT,1199.0
13-Jan-26 4:00:00 PM ICT,1200.0
13-Jan-26 5:00:00 PM ICT,1200.5
13-Jan-26 6:00:00 PM ICT,1202.0
13-Jan-26 7:00:00 PM ICT,1203.0
13-Jan-26 8:00:00 PM ICT,1203.0
13-Jan-26 9:00:00 PM ICT,1204.0
13-Jan-26 10:00:00 PM ICT,1204.0
13-Jan-26 11:00:00 PM ICT,1204.5
