Timestamp,FIT104SoftWaterSupplyNo2_Flow(m³/hr)
30-Jan-26 10:30:00 PM ICT,1.5
30-Jan-26 11:00:00 PM ICT,1.5
30-Jan-26 11:30:00 PM ICT,1.6
31-Jan-26 12:00:00 AM ICT,1.5
31-Jan-26 12:30:00 AM ICT,1.3
31-Jan-26 1:00:00 AM ICT,1.5
31-Jan-26 1:30:00 AM ICT,1.6
31-Jan-26 2:00:00 AM ICT,1.5
31-Jan-26 2:30:00 AM ICT,0.7
31-Jan-26 3:00:00 AM ICT,0.0
31-Jan-26 3:30:00 AM ICT,0.0
31-Jan-26 4:00:00 AM ICT,0.0
31-Jan-26 4:30:00 AM ICT,0.0
31-Jan-26 5:00:00 AM ICT,0.0
31-Jan-26 5:30:00 AM ICT,0.0
31-Jan-26 6:00:00 AM ICT,0.0
31-Jan-26 6:30:00 AM ICT,0.0
31-Jan-26 7:00:00 AM ICT,0.0
31-Jan-26 7:30:00 AM ICT,1.5
31-Jan-26 8:00:00 AM ICT,5.2
31-Jan-26 8:30:00 AM ICT,9.6
31-Jan-26 9:00:00 AM ICT,6.7
31-Jan-26 9:30:00 AM ICT,4.0
31-Jan-26 10:00:00 AM ICT,3.9
31-Jan-26 10:30:00 AM ICT,3.8
31-Jan-26 11:00:00 AM ICT,4.4
31-Jan-26 11:30:00 AM ICT,3.3
31-Jan-26 12:00:00 PM ICT,5.4
31-Jan-26 12:30:00 PM ICT,3.4
31-Jan-26 1:00:00 PM ICT,4.9
31-Jan-26 1:30:00 PM ICT,3.6
31-Jan-26 2:00:00 PM ICT,3.1
31-Jan-26 2:30:00 PM ICT,4.0
31-Jan-26 3:00:00 PM ICT,4.5
31-Jan-26 3:30:00 PM ICT,4.1
31-Jan-26 4:00:00 PM ICT,3.8
31-Jan-26 4:30:00 PM ICT,7.0
31-Jan-26 5:00:00 PM ICT,3.1
31-Jan-26 5:30:00 PM ICT,2.4
31-Jan-26 6:00:00 PM ICT,1.3
31-Jan-26 6:30:00 PM ICT,6.8
31-Jan-26 7:00:00 PM ICT,4.9
31-Jan-26 7:30:00 PM ICT,4.9
31-Jan-26 8:00:00 PM ICT,7.5
31-Jan-26 8:30:00 PM ICT,4.8
31-Jan-26 9:00:00 PM ICT,4.8
31-Jan-26 9:30:00 PM ICT,4.8
31-Jan-26 10:00:00 PM ICT,4.8
31-Jan-26 10:30:00 PM ICT,4.8
31-Jan-26 11:00:00 PM ICT,4.8
31-Jan-26 11:30:00 PM ICT,4.8
01-Feb-26 12:00:00 AM ICT,4.8
01-Feb-26 12:30:00 AM ICT,4.9
01-Feb-26 1:00:00 AM ICT,5.6
01-Feb-26 1:30:00 AM ICT,3.8
01-Feb-26 2:00:00 AM ICT,3.8
01-Feb-26 2:30:00 AM ICT,4.9
01-Feb-26 3:00:00 AM ICT,4.8
01-Feb-26 3:30:00 AM ICT,4.6
01-Feb-26 4:00:00 AM ICT,11.5
01-Feb-26 4:30:00 AM ICT,4.8
01-Feb-26 5:00:00 AM ICT,4.9
01-Feb-26 5:30:00 AM ICT,4.9
01-Feb-26 6:00:00 AM ICT,4.0
01-Feb-26 6:30:00 AM ICT,4.8
01-Feb-26 7:00:00 AM ICT,4.8
01-Feb-26 7:30:00 AM ICT,4.4
01-Feb-26 8:00:00 AM ICT,2.4
01-Feb-26 8:30:00 AM ICT,2.6
01-Feb-26 9:00:00 AM ICT,3.3
01-Feb-26 9:30:00 AM ICT,3.3
01-Feb-26 10:00:00 AM ICT,3.2
01-Feb-26 10:30:00 AM ICT,2.1
01-Feb-26 11:00:00 AM ICT,3.3
01-Feb-26 11:30:00 AM ICT,3.8
01-Feb-26 12:00:00 PM ICT,3.3
01-Feb-26 12:30:00 PM ICT,3.3
01-Feb-26 1:00:00 PM ICT,2.5
01-Feb-26 1:30:00 PM ICT,4.4
01-Feb-26 2:00:00 PM ICT,2.8
01-Feb-26 2:30:00 PM ICT,3.7
01-Feb-26 3:00:00 PM ICT,3.4
01-Feb-26 3:30:00 PM ICT,3.4
01-Feb-26 4:00:00 PM ICT,3.2
01-Feb-26 4:30:00 PM ICT,2.3
01-Feb-26 5:00:00 PM ICT,4.9
01-Feb-26 5:30:00 PM ICT,3.6
01-Feb-26 6:00:00 PM ICT,2.4
01-Feb-26 6:30:00 PM ICT,3.3
01-Feb-26 7:00:00 PM ICT,4.9
01-Feb-26 7:30:00 PM ICT,4.5
01-Feb-26 8:00:00 PM ICT,2.4
01-Feb-26 8:30:00 PM ICT,2.6
01-Feb-26 9:00:00 PM ICT,3.6
01-Feb-26 9:30:00 PM ICT,2.5
01-Feb-26 10:00:00 PM ICT,1.7
01-Feb-26 10:30:00 PM ICT,6.3
01-Feb-26 11:00:00 PM ICT,5.6
01-Feb-26 11:30:00 PM ICT,3.1
02-Feb-26 12:00:00 AM ICT,2.7
02-Feb-26 12:30:00 AM ICT,2.6
02-Feb-26 1:00:00 AM ICT,4.9
02-Feb-26 1:30:00 AM ICT,2.6
02-Feb-26 2:00:00 AM ICT,1.7
02-Feb-26 2:30:00 AM ICT,3.0
02-Feb-26 3:00:00 AM ICT,3.6
02-Feb-26 3:30:00 AM ICT,2.7
02-Feb-26 4:00:00 AM ICT,3.3
02-Feb-26 4:30:00 AM ICT,3.3
02-Feb-26 5:00:00 AM ICT,3.3
02-Feb-26 5:30:00 AM ICT,2.7
02-Feb-26 6:00:00 AM ICT,2.8
02-Feb-26 6:30:00 AM ICT,5.7
02-Feb-26 7:00:00 AM ICT,3.8
02-Feb-26 7:30:00 AM ICT,4.0
02-Feb-26 8:00:00 AM ICT,2.8
02-Feb-26 8:30:00 AM ICT,4.1
02-Feb-26 9:00:00 AM ICT,1.4
02-Feb-26 9:30:00 AM ICT,0.0
02-Feb-26 10:00:00 AM ICT,0.0
02-Feb-26 10:30:00 AM ICT,2.1
02-Feb-26 11:00:00 AM ICT,3.3
02-Feb-26 11:30:00 AM ICT,3.9
02-Feb-26 12:00:00 PM ICT,2.4
02-Feb-26 12:30:00 PM ICT,2.2
02-Feb-26 1:00:00 PM ICT,2.5
02-Feb-26 1:30:00 PM ICT,4.0
02-Feb-26 2:00:00 PM ICT,3.4
02-Feb-26 2:30:00 PM ICT,2.5
02-Feb-26 3:00:00 PM ICT,2.8
02-Feb-26 3:30:00 PM ICT,3.2
02-Feb-26 4:00:00 PM ICT,2.4
02-Feb-26 4:30:00 PM ICT,2.3
02-Feb-26 5:00:00 PM ICT,3.4
02-Feb-26 5:30:00 PM ICT,3.1
02-Feb-26 6:00:00 PM ICT,1.7
02-Feb-26 6:30:00 PM ICT,0.1
02-Feb-26 7:00:00 PM ICT,0.0
02-Feb-26 7:30:00 PM ICT,0.0
02-Feb-26 8:00:00 PM ICT,0.0
02-Feb-26 8:30:00 PM ICT,0.2
02-Feb-26 9:00:00 PM ICT,0.0
02-Feb-26 9:30:00 PM ICT,0.0
02-Feb-26 10:00:00 PM ICT,0.0
02-Feb-26 10:30:00 PM ICT,0.1
02-Feb-26 11:00:00 PM ICT,0.0
02-Feb-26 11:30:00 PM ICT,0.0
03-Feb-26 12:00:00 AM ICT,0.0
03-Feb-26 12:30:00 AM ICT,0.0
03-Feb-26 1:00:00 AM ICT,0.0
03-Feb-26 1:30:00 AM ICT,0.0
03-Feb-26 2:00:00 AM ICT,0.0
03-Feb-26 2:30:00 AM ICT,0.0
03-Feb-26 3:00:00 AM ICT,0.0
03-Feb-26 3:30:00 AM ICT,0.0
03-Feb-26 4:00:00 AM ICT,0.0
03-Feb-26 4:30:00 AM ICT,0.0
03-Feb-26 5:00:00 AM ICT,0.0
03-Feb-26 5:30:00 AM ICT,0.0
03-Feb-26 6:00:00 AM ICT,0.0
03-Feb-26 6:30:00 AM ICT,0.0
03-Feb-26 7:00:00 AM ICT,1.9
03-Feb-26 7:30:00 AM ICT,2.6
03-Feb-26 8:00:00 AM ICT,2.7
03-Feb-26 8:30:00 AM ICT,1.9
03-Feb-26 9:00:00 AM ICT,6.6
03-Feb-26 9:30:00 AM ICT,10.5
03-Feb-26 10:00:00 AM ICT,7.5
03-Feb-26 10:30:00 AM ICT,11.7
03-Feb-26 11:00:00 AM ICT,2.7
03-Feb-26 11:30:00 AM ICT,3.2
03-Feb-26 12:00:00 PM ICT,2.4
03-Feb-26 12:30:00 PM ICT,3.5
03-Feb-26 1:00:00 PM ICT,2.4
03-Feb-26 1:30:00 PM ICT,3.1
03-Feb-26 2:00:00 PM ICT,2.4
03-Feb-26 2:30:00 PM ICT,3.1
03-Feb-26 3:00:00 PM ICT,7.6
03-Feb-26 3:30:00 PM ICT,2.1
03-Feb-26 4:00:00 PM ICT,6.8
03-Feb-26 4:30:00 PM ICT,2.7
03-Feb-26 5:00:00 PM ICT,11.6
03-Feb-26 5:30:00 PM ICT,0.1
03-Feb-26 6:00:00 PM ICT,2.8
03-Feb-26 6:30:00 PM ICT,6.3
03-Feb-26 7:00:00 PM ICT,3.7
03-Feb-26 7:30:00 PM ICT,0.1
03-Feb-26 8:00:00 PM ICT,0.0
03-Feb-26 8:30:00 PM ICT,0.0
03-Feb-26 9:00:00 PM ICT,0.0
03-Feb-26 9:30:00 PM ICT,0.0
03-Feb-26 10:00:00 PM ICT,0.0
03-Feb-26 10:30:00 PM ICT,0.0
03-Feb-26 11:00:00 PM ICT,0.0
03-Feb-26 11:30:00 PM ICT,0.1
04-Feb-26 12:00:00 AM ICT,0.0
04-Feb-26 12:30:00 AM ICT,0.0
04-Feb-26 1:00:00 AM ICT,0.0
04-Feb-26 1:30:00 AM ICT,0.0
04-Feb-26 2:00:00 AM ICT,0.0
04-Feb-26 2:30:00 AM ICT,0.0
04-Feb-26 3:00:00 AM ICT,0.0
04-Feb-26 3:30:00 AM ICT,0.0
04-Feb-26 4:00:00 AM ICT,0.0
04-Feb-26 4:30:00 AM ICT,0.0
04-Feb-26 5:00:00 AM ICT,0.3
04-Feb-26 5:30:00 AM ICT,0.1
04-Feb-26 6:00:00 AM ICT,0.0
04-Feb-26 6:30:00 AM ICT,0.0
04-Feb-26 7:00:00 AM ICT,2.6
04-Feb-26 7:30:00 AM ICT,1.4
04-Feb-26 8:00:00 AM ICT,6.2
04-Feb-26 8:30:00 AM ICT,10.3
04-Feb-26 9:00:00 AM ICT,3.0
04-Feb-26 9:30:00 AM ICT,4.8
04-Feb-26 10:00:00 AM ICT,4.2
04-Feb-26 10:30:00 AM ICT,9.7
04-Feb-26 11:00:00 AM ICT,3.3
04-Feb-26 11:30:00 AM ICT,5.8
04-Feb-26 12:00:00 PM ICT,2.4
04-Feb-26 12:30:00 PM ICT,2.6
04-Feb-26 1:00:00 PM ICT,2.7
04-Feb-26 1:30:00 PM ICT,4.0
04-Feb-26 2:00:00 PM ICT,3.6
04-Feb-26 2:30:00 PM ICT,7.1
04-Feb-26 3:00:00 PM ICT,2.9
04-Feb-26 3:30:00 PM ICT,1.9
04-Feb-26 4:00:00 PM ICT,3.7
04-Feb-26 4:30:00 PM ICT,14.9
04-Feb-26 5:00:00 PM ICT,11.5
04-Feb-26 5:30:00 PM ICT,7.0
04-Feb-26 6:00:00 PM ICT,3.2
04-Feb-26 6:30:00 PM ICT,2.9
04-Feb-26 7:00:00 PM ICT,0.0
04-Feb-26 7:30:00 PM ICT,0.0
04-Feb-26 8:00:00 PM ICT,0.0
04-Feb-26 8:30:00 PM ICT,0.0
04-Feb-26 9:00:00 PM ICT,0.3
04-Feb-26 9:30:00 PM ICT,0.5
04-Feb-26 10:00:00 PM ICT,0.0
04-Feb-26 10:30:00 PM ICT,0.0
04-Feb-26 11:00:00 PM ICT,0.0
04-Feb-26 11:30:00 PM ICT,0.0
05-Feb-26 12:00:00 AM ICT,1.1
05-Feb-26 12:30:00 AM ICT,0.0
05-Feb-26 1:00:00 AM ICT,0.0
05-Feb-26 1:30:00 AM ICT,0.0
05-Feb-26 2:00:00 AM ICT,0.0
05-Feb-26 2:30:00 AM ICT,0.0
05-Feb-26 3:00:00 AM ICT,0.0
05-Feb-26 3:30:00 AM ICT,0.0
05-Feb-26 4:00:00 AM ICT,0.0
05-Feb-26 4:30:00 AM ICT,0.0
05-Feb-26 5:00:00 AM ICT,0.0
05-Feb-26 5:30:00 AM ICT,0.3
05-Feb-26 6:00:00 AM ICT,0.0
05-Feb-26 6:30:00 AM ICT,0.0
05-Feb-26 7:00:00 AM ICT,3.1
05-Feb-26 7:30:00 AM ICT,2.7
05-Feb-26 8:00:00 AM ICT,6.5
05-Feb-26 8:30:00 AM ICT,6.6
05-Feb-26 9:00:00 AM ICT,3.6
05-Feb-26 9:30:00 AM ICT,5.1
05-Feb-26 10:00:00 AM ICT,4.5
05-Feb-26 10:30:00 AM ICT,3.8
05-Feb-26 11:00:00 AM ICT,2.7
05-Feb-26 11:30:00 AM ICT,3.0
05-Feb-26 12:00:00 PM ICT,2.9
05-Feb-26 12:30:00 PM ICT,7.7
05-Feb-26 1:00:00 PM ICT,2.5
05-Feb-26 1:30:00 PM ICT,6.1
05-Feb-26 2:00:00 PM ICT,3.5
05-Feb-26 2:30:00 PM ICT,5.4
05-Feb-26 3:00:00 PM ICT,5.0
05-Feb-26 3:30:00 PM ICT,3.6
05-Feb-26 4:00:00 PM ICT,6.5
05-Feb-26 4:30:00 PM ICT,4.8
05-Feb-26 5:00:00 PM ICT,4.5
05-Feb-26 5:30:00 PM ICT,1.0
05-Feb-26 6:00:00 PM ICT,1.5
05-Feb-26 6:30:00 PM ICT,4.0
05-Feb-26 7:00:00 PM ICT,0.9
05-Feb-26 7:30:00 PM ICT,3.2
