Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,54 hr 31 min,ENPD-240014,Bowl Cutter (Chopper) No.1,MNT-00004158,1900175,WRKO-00004980,อุดรูสกรูหน้าจอเครื่อง Blow cutter,Production Plant1,Production Machine,Inspection,"",ENG,4,January,7,January,9
Finished,999 hr 32 min,ENWA-240009,Producton Low Risk,MNT-00004222,1900175,WRKO-00005049,ห้องล้างสกรูไขไม่เรียบร้อย ฝั่งดิบ,Work Area,ฺBuilding,Inspection,"",ENG,4,January,13,February,23
Finished,34 hr 18 min,ENWA-240008,Producton High Risk,MNT-00004244,1900254,WRKO-00005070,ห้องน้ำหญิงฝั่งสุกเบอร์12น้ำไม่ขึ้น,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,14,January,15
Finished,33 hr 58 min,ENWA-240009,Producton Low Risk,MNT-00004242,1900254,WRKO-00005069,ห้องน้ำหญิงฝั่งดิบเบอร์20น้ำไม่ขึ้น,Work Area,ฺBuilding,Inspection,"",ENG,4,January,14,January,15
Finished,24 hr 33 min,ENWA-240009,Producton Low Risk,MNT-00004415,1900254,WRKO-00005278,ห้องน้ำหญิงฝั่งดิบเบอร์19สายฉีดมีน้ำหยด,Work Area,Tool and Equipment,Inspection,"",ENG,1,February,12,February,13
Finished,24 hr 51 min,ENWA-240008,Producton High Risk,MNT-00004419,1900254,WRKO-00005281,ห้องน้ำชายฝั่งสุกเบอร์4ลูกลอยหลุด,Work Area,ฺBuilding,Inspection,"",ENG,4,February,12,February,13
Finished,33 hr 11 min,ENWA-240009,Producton Low Risk,MNT-00004245,1900254,WRKO-00005071,ห้องน้ำชายฝั่งดิบเบอร์18น้ำไม่ขึ้น,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,14,January,15
Finished,25 hr 23 min,ENWA-240009,Producton Low Risk,MNT-00004418,1900254,WRKO-00005280,ห้องน้ำชายฝั่งดิบเบอร์14น้ำไหลไม่หยุด,Work Area,ฺBuilding,Inspection,"",ENG,4,February,12,February,13
Finished,46 hr 43 min,ENWA-240009,Producton Low Risk,MNT-00004553,1900175,WRKO-00005423,หลอดไฟห้องcooking RL334 ชำรุด 1 ดวง ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,March,3,March,4
Finished,38 hr 31 min,ENWA-240008,Producton High Risk,MNT-00004105,1900254,WRKO-00004918,สายฉีดห้องน้ำหญิงฝั่งสุกหลุดเบอร์10,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,6,January,7
Finished,16 hr 8 min,ENWA-240008,Producton High Risk,MNT-00004171,1900254,WRKO-00004990,สายฉีดก้นห้องน้ำชายฝั่งสุกหลุดเบอร์2,Work Area,ฺBuilding,Inspection,"",ENG,4,January,9,January,9
Finished,113 hr 27 min,ENWA-240008,Producton High Risk,MNT-00004537,1900175,WRKO-00005405,สายครอบปลั๊กไฟข้างสายพานฝั่งสุกชำรุด,Work Area,Electrical system,Inspection,"",ENG,4,February,28,March,4
Finished,127 hr 39 min,ENWA-240004,Store Office,MNT-00004108,1900132,WRKO-00004921,สนิมตรงที่โหลดใหญ่ฝั่งดิบ,Work Area,ฺBuilding,Inspection,"",ENG,1,January,6,January,11
Finished,107 hr 22 min,ENWA-240009,Producton Low Risk,MNT-00004181,1900175,WRKO-00005002,ล้างพัดลมดูดอากาศข้างตู้น้ำแข็งเก่า ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,10,January,14
Finished,6 hr 45 min,ENUT-240014,Resin Tank No.2,MNT-00004292,1900231,WRKO-00005134,ล้างเรซินถัง SOFT 2,Water1,Water system,Inspection,"",ENG,1,January,21,January,21
