Timestamp,Trend Flags,Status,Value (kW-hr)
16-Dec-25 6:00:00 PM ICT,{start},{ok},182837
16-Dec-25 6:15:00 PM ICT,{ },{ok},182881
16-Dec-25 6:30:00 PM ICT,{ },{ok},182925
16-Dec-25 6:45:00 PM ICT,{ },{ok},182966
16-Dec-25 7:00:00 PM ICT,{ },{ok},183006
16-Dec-25 7:15:00 PM ICT,{ },{ok},183043
16-Dec-25 7:30:00 PM ICT,{ },{ok},183084
16-Dec-25 7:45:00 PM ICT,{ },{ok},183125
16-Dec-25 8:00:01 PM ICT,{ },{ok},183167
16-Dec-25 8:15:00 PM ICT,{ },{ok},183210
16-Dec-25 8:30:00 PM ICT,{ },{ok},183254
16-Dec-25 8:45:00 PM ICT,{ },{ok},183294
16-Dec-25 9:00:00 PM ICT,{ },{ok},183336
16-Dec-25 9:15:00 PM ICT,{ },{ok},183378
16-Dec-25 9:30:00 PM ICT,{ },{ok},183420
16-Dec-25 9:45:00 PM ICT,{ },{ok},183458
16-Dec-25 10:00:00 PM ICT,{ },{ok},183496
16-Dec-25 10:15:00 PM ICT,{ },{ok},183539
16-Dec-25 10:30:00 PM ICT,{ },{ok},183580
16-Dec-25 10:45:00 PM ICT,{ },{ok},183620
16-Dec-25 11:00:00 PM ICT,{ },{ok},183662
16-Dec-25 11:15:00 PM ICT,{ },{ok},183704
16-Dec-25 11:30:00 PM ICT,{ },{ok},183741
16-Dec-25 11:45:00 PM ICT,{ },{ok},183775
17-Dec-25 12:00:00 AM ICT,{ },{ok},183815
17-Dec-25 12:15:00 AM ICT,{ },{ok},183857
17-Dec-25 12:30:00 AM ICT,{ },{ok},183898
17-Dec-25 12:45:00 AM ICT,{ },{ok},183938
17-Dec-25 1:00:00 AM ICT,{ },{ok},183976
17-Dec-25 1:15:00 AM ICT,{ },{ok},184011
17-Dec-25 1:30:00 AM ICT,{ },{ok},184045
17-Dec-25 1:45:00 AM ICT,{ },{ok},184082
17-Dec-25 2:00:00 AM ICT,{ },{ok},184123
17-Dec-25 2:15:00 AM ICT,{ },{ok},184165
17-Dec-25 2:30:00 AM ICT,{ },{ok},184205
17-Dec-25 2:45:00 AM ICT,{ },{ok},184243
17-Dec-25 3:00:00 AM ICT,{ },{ok},184282
17-Dec-25 3:15:00 AM ICT,{ },{ok},184322
17-Dec-25 3:30:00 AM ICT,{ },{ok},184362
17-Dec-25 3:45:00 AM ICT,{ },{ok},184402
17-Dec-25 4:00:00 AM ICT,{ },{ok},184444
17-Dec-25 4:15:00 AM ICT,{ },{ok},184481
17-Dec-25 4:30:00 AM ICT,{ },{ok},184520
17-Dec-25 4:45:00 AM ICT,{ },{ok},184558
17-Dec-25 5:00:00 AM ICT,{ },{ok},184595
17-Dec-25 5:15:00 AM ICT,{ },{ok},184637
17-Dec-25 5:30:00 AM ICT,{ },{ok},184672
17-Dec-25 5:45:00 AM ICT,{ },{ok},184709
17-Dec-25 6:00:00 AM ICT,{ },{ok},184750
17-Dec-25 6:15:00 AM ICT,{ },{ok},184788
17-Dec-25 6:30:00 AM ICT,{ },{ok},184824
17-Dec-25 6:45:00 AM ICT,{ },{ok},184863
17-Dec-25 7:00:00 AM ICT,{ },{ok},184901
17-Dec-25 7:15:00 AM ICT,{ },{ok},184937
17-Dec-25 7:30:00 AM ICT,{ },{ok},184968
17-Dec-25 7:45:00 AM ICT,{ },{ok},185005
17-Dec-25 8:00:00 AM ICT,{ },{ok},185041
17-Dec-25 8:15:00 AM ICT,{ },{ok},185083
17-Dec-25 8:30:00 AM ICT,{ },{ok},185124
