history:SM/PM-MAIN-EDB-OF_Energy

Timestamp,Trend Flags,Status,Value (kW-hr)
16-Dec-25 11:00:00 AM ICT,{start},{ok},177859.00
16-Dec-25 11:15:00 AM ICT,{ },{ok},177888.00
16-Dec-25 11:30:00 AM ICT,{ },{ok},177916.00
16-Dec-25 11:45:00 AM ICT,{ },{ok},177945.00
16-Dec-25 12:00:00 PM ICT,{ },{ok},177974.00
16-Dec-25 12:15:01 PM ICT,{ },{ok},178004.00
16-Dec-25 12:30:00 PM ICT,{ },{ok},178042.00
16-Dec-25 12:45:00 PM ICT,{ },{ok},178079.00
16-Dec-25 01:00:01 PM ICT,{ },{ok},178117.00
16-Dec-25 01:15:00 PM ICT,{ },{ok},178153.00
16-Dec-25 01:30:00 PM ICT,{ },{ok},178187.00
16-Dec-25 01:45:00 PM ICT,{ },{ok},178221.00
16-Dec-25 02:00:00 PM ICT,{ },{ok},178255.00
16-Dec-25 02:15:00 PM ICT,{ },{ok},178291.00
16-Dec-25 02:30:00 PM ICT,{ },{ok},178326.00
16-Dec-25 02:45:00 PM ICT,{ },{ok},178361.00
16-Dec-25 03:00:00 PM ICT,{ },{ok},178396.00
16-Dec-25 03:15:00 PM ICT,{ },{ok},178432.00
16-Dec-25 03:30:00 PM ICT,{ },{ok},178467.00
16-Dec-25 03:45:00 PM ICT,{ },{ok},178502.00
16-Dec-25 04:00:00 PM ICT,{ },{ok},178537.00
16-Dec-25 04:15:00 PM ICT,{ },{ok},178575.00
16-Dec-25 04:30:00 PM ICT,{ },{ok},178615.00
16-Dec-25 04:45:00 PM ICT,{ },{ok},178650.00
16-Dec-25 05:00:00 PM ICT,{ },{ok},178685.00
16-Dec-25 05:15:00 PM ICT,{ },{ok},178721.00
16-Dec-25 05:30:00 PM ICT,{ },{ok},178755.00
16-Dec-25 05:45:00 PM ICT,{ },{ok},178789.00
16-Dec-25 06:00:00 PM ICT,{ },{ok},178825.00
16-Dec-25 06:15:00 PM ICT,{ },{ok},178861.00
16-Dec-25 06:30:00 PM ICT,{ },{ok},178897.00
16-Dec-25 06:45:00 PM ICT,{ },{ok},178933.00
16-Dec-25 07:00:00 PM ICT,{ },{ok},178968.00
16-Dec-25 07:15:00 PM ICT,{ },{ok},179003.00
16-Dec-25 07:30:00 PM ICT,{ },{ok},179037.00
16-Dec-25 07:45:00 PM ICT,{ },{ok},179070.00
16-Dec-25 08:00:00 PM ICT,{ },{ok},179104.00
16-Dec-25 08:15:00 PM ICT,{ },{ok},179140.00
16-Dec-25 08:30:00 PM ICT,{ },{ok},179176.00
16-Dec-25 08:45:00 PM ICT,{ },{ok},179212.00
16-Dec-25 09:00:00 PM ICT,{ },{ok},179246.00
16-Dec-25 09:15:00 PM ICT,{ },{ok},179279.00
16-Dec-25 09:30:00 PM ICT,{ },{ok},179313.00
16-Dec-25 09:45:00 PM ICT,{ },{ok},179346.00
16-Dec-25 10:00:00 PM ICT,{ },{ok},179380.00
16-Dec-25 10:15:00 PM ICT,{ },{ok},179416.00
16-Dec-25 10:30:00 PM ICT,{ },{ok},179452.00
16-Dec-25 10:45:00 PM ICT,{ },{ok},179486.00
16-Dec-25 11:00:00 PM ICT,{ },{ok},179521.00
16-Dec-25 11:15:00 PM ICT,{ },{ok},179556.00
16-Dec-25 11:30:00 PM ICT,{ },{ok},179590.00
16-Dec-25 11:45:00 PM ICT,{ },{ok},179624.00
17-Dec-25 12:00:00 AM ICT,{ },{ok},179658.00
17-Dec-25 12:15:00 AM ICT,{ },{ok},179692.00
17-Dec-25 12:30:00 AM ICT,{ },{ok},179726.00
17-Dec-25 12:45:00 AM ICT,{ },{ok},179761.00
17-Dec-25 01:00:00 AM ICT,{ },{ok},179797.00
17-Dec-25 01:15:00 AM ICT,{ },{ok},179831.00
17-Dec-25 01:30:00 AM ICT,{ },{ok},179863.00
17-Dec-25 01:45:00 AM ICT,{ },{ok},179892.00
