,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
0:00:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:01:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:02:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:03:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:04:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:05:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:06:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:07:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:08:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:09:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:10:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:11:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:12:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:13:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:14:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:15:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:16:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:17:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:18:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:19:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:20:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:21:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:22:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:23:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:24:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:25:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:26:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:27:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:28:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:29:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:30:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:31:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:32:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:33:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:34:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:35:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:36:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
