 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
"SATS Food Solutions (Thailand) Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Error name,,,,,,,,,,,,,,,,,,,,,,,
Conveyer report,,,,,,,,,,,,,,,,,,,,,,,
,Datetime: 2025-11-28   SamplingRate:  60 Minute ,,,,,,,,,,,,,,,,,,,,,,
2025-11-10 00:00:00,45973,,,,,,,45972,1,,,,,,,,,,,,,,
,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,REMARK,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,,,
(hh:mm:ss),ALL,LINE 4,LINE 5,ALL,LINE 4,LINE 5,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,Time,Use kWh,
00:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,00:00,,
01:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,01:00,,
02:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,02:00,,
03:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,03:00,,2.0
04:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,04:00,,2.0
05:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,05:00,,2.0
06:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,06:00,,2.0
07:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,07:00,,2.0
08:00:00,7,7,0,157,156,1,25,25,80,80,50,40,0,68,30,80,80,,,,08:00,,2.0
10:00:00,0,0,0,232,231,1,25,25,80,80,50,40,1,68,30,80,80,,,,10:00,,2.0
11:00:00,0,0,0,373,321,52,25,25,80,80,50,40,2,68,30,80,80,,,,11:00,,2.0
12:00:00,0,0,0,0,0,0,35,35,100,100,50,40,3,68,30,80,80,,,,12:00,,2.5
13:00:00,0,0,0,0,0,0,35,35,100,100,50,40,4,68,30,80,80,,,,13:00,,2.5
14:00:00,0,0,0,43,20,23,20,20,100,100,50,40,5,68,30,80,80,,,,14:00,,2.5
16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,71,60,25,60,,,,16:00,,
