TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,,,,,,,,,,,,,,,,,,
0:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:07:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:08:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:09:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:10:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:11:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:12:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:13:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:14:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:15:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:16:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:17:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:18:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:19:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:20:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:21:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:22:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:23:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:24:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:25:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:26:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:27:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:28:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:29:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:30:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:31:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:32:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:33:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:34:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:35:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:36:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:37:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:38:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:39:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
0:40:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
