TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,,,,,,,,,,,,,,,,
0:00:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:01:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:02:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:03:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:04:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:05:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:06:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:07:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:08:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:09:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:10:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:11:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:12:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:13:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:14:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:15:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:16:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:17:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:18:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:19:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:20:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:21:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:22:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:23:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:24:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:25:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:26:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:27:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:28:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:29:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:30:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:31:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:32:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:33:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:34:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:35:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:36:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:37:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:38:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:39:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:40:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:41:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:42:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:43:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:44:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:45:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:46:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:47:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:48:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:49:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:50:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:51:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
0:52:00,0,0,0,45,23,22,,,,,,,,,,,,,,,,
