TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 4,LINE 5,ALL,LINE 4,LINE 5,,,,,,,,,,,,,,,
0:00:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:01:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:02:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:03:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:04:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:05:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:06:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:07:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:08:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:09:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:10:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:11:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:12:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:13:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:14:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:15:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:16:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:17:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:18:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:19:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:20:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:21:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:22:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:23:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:24:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:25:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:26:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:27:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:28:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:29:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:30:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:31:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:32:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:33:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:34:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:35:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:36:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:37:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:38:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:39:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:40:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:41:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:42:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:43:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:44:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:45:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:46:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:47:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:48:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:49:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:50:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:51:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:52:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:53:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:54:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:55:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:56:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:57:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:58:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
0:59:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:00:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:01:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:02:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:03:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:04:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:05:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:06:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:07:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:08:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:09:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:10:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:11:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:12:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:13:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:14:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:15:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:16:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:17:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:18:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:19:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:20:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:21:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:22:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:23:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:24:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:25:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:26:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:27:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:28:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:29:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:30:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:31:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:32:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:33:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:34:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:35:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:36:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:37:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:38:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:39:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:40:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:41:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:42:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:43:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:44:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:45:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:46:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:47:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:48:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:49:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:50:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:51:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:52:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:53:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:54:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:55:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:56:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
1:57:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
