,VOLTAGE,,,,,,CURRENT,,,,Power factor,,,Frequency,POWER,,,E (Into load),,,,
TIME,V L1-L2,V L2-L3,V L3-L1,V L1,V L2,V L3,I L1,I L2,I L3,I N,PL1,PL2,PL3,,P.,Q.,S.,Wh,,,,
(hh:mm:ss),V.,V.,V.,V.,V.,V.,A.,A.,A.,A.,,,,Hz,kW.,kVAR.,kVA.,kWh.,,,,
0:00:00,399.7,400.8,399.5,230.2,231.6,230.8,1.1,1.2,1.5,1.2,0.2,0.3,0.9,50.03,0.46,-0.629,0.872,2339,,,,
1:00:00,397.6,398.9,397.3,228.9,230.5,229.7,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50,0.456,-0.628,0.869,2339,,,,
2:00:00,398.2,399.6,397.7,229.2,230.9,230.1,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.02,0.461,-0.629,0.874,2340,,,,
3:00:00,399.1,400.3,398.4,229.7,231.5,230.5,1.2,1.2,1.5,1.2,0.2,0.3,0.9,49.98,0.46,-0.627,0.872,2340,,,,
4:00:00,401.6,402.8,400.9,231.2,232.9,231.9,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.02,0.464,-0.636,0.881,2341,,,,
5:00:00,401.7,403.1,401.3,231.2,233,232.1,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.05,0.461,-0.64,0.886,2341,,,,
6:00:00,396.5,397.6,396,228.3,229.8,228.9,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.03,0.456,-0.624,0.867,2342,,,,
7:00:00,397.5,398.6,397.7,229.1,230.2,229.8,1.2,1.1,1.5,1.2,0.2,0.3,0.9,49.95,0.462,-0.618,0.865,2342,,,,
8:00:00,391.4,392.8,391.8,225.7,226.9,226.5,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.03,0.457,-0.636,0.874,2342,,,,
10:00:00,397.5,399,397.5,229,230.5,230,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50.04,0.453,-0.654,0.885,2343,,,,
11:00:00,393.5,394.9,393.5,226.6,228.2,227.6,1.3,1.3,1.5,1.3,0.2,0.3,0.9,50.04,0.444,-0.724,0.927,2344,,,,
12:00:00,395.1,396.7,395.3,227.6,229.2,228.6,1.3,1.2,1.5,1.3,0.2,0.3,0.9,50.04,0.456,-0.705,0.92,2344,,,,
13:00:00,394,395.1,394,227,228.4,227.8,1.1,1.2,1.5,1.3,0.2,0.3,0.9,49.99,0.446,-0.657,0.885,2345,,,,
14:00:00,389.7,391.4,389.9,224.4,226,225.5,1.1,1.3,1.6,1.3,0.2,0.3,0.9,49.97,0.444,-0.682,0.893,2345,,,,
16:00:00,384.3,386.1,384.6,221.3,223,222.4,1.2,1.1,1.5,1.2,0.2,0.3,0.9,49.99,0.452,-0.61,0.843,2346,,,,
17:00:00,394.6,396.3,395.5,227.6,228.8,228.5,1.2,1.2,1.5,1.2,0.2,0.3,0.9,50,0.454,-0.659,0.881,2347,,,,
