DATE,Spiral Freezer,,,Screw Compressor,
,MLF01,MLF02,MLF03,MDB01,MDB02
Day-Month-Year,kWh,kWh,kWh,kWh,kWh
13/11/2025,236,212,197,452,650
14/11/2025,232,135,251,401,592
15/11/2025,139,81,160,439,326
16/11/2025,11,10,11,3,16
17/11/2025,315,418,461,645,892
18/11/2025,12,318,10,460,36
19/11/2025,25,9,478,85,669
20/11/2025,34,4,10,87,80
21/11/2025,404,114,105,784,185
22/11/2025,11,10,13,50,28
23/11/2025,11,12,11,3,3
24/11/2025,148,146,175,296,397
25/11/2025,16,13,11,13,2
26/11/2025,90,10,10,245,124
27/11/2025,69,135,62,23,212
28/11/2025,11,12,396,3,551
29/11/2025,11,11,11,2,2
30/11/2025,11,11,10,3,3
