,LOW RECEIVER ,,,SUCTION TEMP MLF01 ,,,,SUCTION TEMP MLF02,,,,SUCTION TEMP MLF03,,,,,,,
TIME,NO.1,NO.2,NO.3,A,B,C,PT,A,B,C,PT,A,B,C,PT,,,,
(hh:mm:ss),oC,oC,oC,oC,oC,oC,kg/cm²,oC,oC,oC,kg/cm²,oC,oC,oC,kg/cm²,,,,
0:00:00,-22.9,-25.2,-20,22.1,21.8,21.5,0.41,6.6,2.6,2.3,0.44,25,25.4,25.5,0.43,,,,
1:00:00,-21.5,-23.9,-18.5,21.9,21.9,21.5,0.51,7.7,4.1,3.7,0.54,24.7,25,25.3,0.52,,,,
2:00:00,-20.2,-22.7,-17.2,21.8,21.6,21.4,0.6,8.6,5.3,4.9,0.63,24.4,24.6,24.9,0.62,,,,
3:00:00,-18.9,-21.8,-15.9,21.6,21.6,21.3,0.67,9.4,6.5,6.1,0.71,24,24.5,24.5,0.71,,,,
4:00:00,-17.8,-20.4,-14.8,21.4,21.5,21.2,0.76,10,7.4,6.9,0.81,23.8,24,24.3,0.81,,,,
5:00:00,-16.7,-19.3,-13.6,21.3,21.3,21,0.86,10.6,8.2,7.7,0.9,23.4,23.6,24,0.9,,,,
6:00:00,-15.7,-18.2,-12.7,21.1,21,20.8,0.95,11,8.9,8.5,0.99,23,23.5,23.5,0.99,,,,
7:00:00,-14.7,-17.2,-11.6,20.8,21,20.6,1.04,11.4,9.5,9.1,1.08,22.7,23,23.2,1.07,,,,
8:00:00,-13.7,-16.2,-10.7,20.7,20.7,20.5,1.14,11.8,10.1,9.7,1.18,22.4,22.7,22.9,1.17,,,,
10:00:00,-43.5,-45,-44.4,19.9,20.2,19.8,-0.51,11.7,11.2,10.9,-0.49,-44.1,-44.1,-44.3,-0.48,,,,
11:00:00,-45.1,-45.3,-44.9,20.2,20.4,20,-0.51,12.9,12.4,11.9,-0.49,-43.3,-42.7,-35.6,-0.49,,,,
12:00:00,-43.2,-44.1,-43.4,20.4,20.7,20.3,-0.42,13.1,12.8,12.5,-0.39,-41.6,-38,-41.5,-0.39,,,,
13:00:00,-44.7,-45.2,-44.9,20.5,20.9,20.4,-0.53,13.9,13.8,13.4,-0.49,-44.4,-44.2,-44.7,-0.49,,,,
14:00:00,-38.9,-39.8,-39,21.1,21.4,20.9,-0.25,14.5,14.4,13.9,-0.24,-38.4,-37.5,-35.9,-0.23,,,,
16:00:00,-41.6,-41.9,-42.7,21.6,21.7,21.2,-0.47,15.9,15.9,15.4,-0.44,-43.1,-40.7,-41.5,-0.44,,,,
17:00:00,-50,-50,-50,21.9,22.2,21.6,-0.65,16.8,16.9,16.4,-0.63,-29.2,-30.6,-36.7,-0.63,,,,
