 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"SATS Food Solutions (Thailand) Co., Ltd.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Spiral Freezer No.3,,,,,,,,,,,,,
Spiral Freezer,,,,,,,,,,,,,
,Datetime: 2025-11-28   SamplingRate:  60 Minute ,,,,,,,,,,,,
,,,,,,,,,,,,,
,Temperature,,Pressure,,Equipment,,,,REMARK,,,,
TIME,TEF01,TEF02,PT01,PT02,Main Drive,Sub Drive,Freezing time,Runtime,,,,,
(hh:mm:ss),oC,oC,kg/cm²,kg/cm²,Hz,Hz,Minutes,Hours,,,,Time,Use kWh
00:00:00,19.1,14.9,2.07,6.29,0,0,120,66,,,,00:00,
01:00:00,19,15,2.01,6.2,0,0,120,66,,,,01:00,
02:00:00,18.8,14.7,2.04,6.13,0,0,120,66,,,,02:00,
03:00:00,18.6,14.6,2,6.06,0,0,120,66,,,,03:00,
04:00:00,18.4,14.6,2.02,5.99,0,0,120,66,,,,04:00,
05:00:00,18.2,14.6,2,5.92,0,0,120,66,,,,05:00,
06:00:00,18.1,14.7,2.04,5.85,0,0,120,66,,,,06:00,
07:00:00,18,14.5,2.01,5.78,0,0,120,66,,,,07:00,
08:00:00,18.5,20,2.04,5.72,54.7,53.6,90,66,,,,08:00,
10:00:00,-37.6,-34,2.08,5.78,41,40.1,120,68,,,,10:00,
11:00:00,-41,-36,2.06,6.41,41,40.1,120,69,,,,11:00,
12:00:00,-35.4,-29.5,1.89,6.4,41,40.1,120,70,,,,12:00,
13:00:00,-36.9,-31.4,2.02,6.45,41,40.1,120,71,,,,13:00,
14:00:00,-35,-30,2.08,5.67,41,40.1,120,72,,,,14:00,
16:00:00,-36,-31.8,1.98,5.03,41,40.1,120,74,,,,16:00,
