TIME,TEF01,TEF02,PT01,PT02,Main Drive,Sub Drive,Freezing time,Runtime,
(hh:mm:ss),oC,oC,kg/cm²,kg/cm²,Hz,Hz,Minutes,Hours,Time
0:00:00,19.1,14.9,2.07,6.29,0,0,120,66,0:00
1:00:00,19,15,2.01,6.2,0,0,120,66,1:00
2:00:00,18.8,14.7,2.04,6.13,0,0,120,66,2:00
3:00:00,18.6,14.6,2,6.06,0,0,120,66,3:00
4:00:00,18.4,14.6,2.02,5.99,0,0,120,66,4:00
5:00:00,18.2,14.6,2,5.92,0,0,120,66,5:00
6:00:00,18.1,14.7,2.04,5.85,0,0,120,66,6:00
7:00:00,18,14.5,2.01,5.78,0,0,120,66,7:00
8:00:00,18.5,20,2.04,5.72,54.7,53.6,90,66,8:00
10:00:00,-37.6,-34,2.08,5.78,41,40.1,120,68,10:00
11:00:00,-41,-36,2.06,6.41,41,40.1,120,69,11:00
12:00:00,-35.4,-29.5,1.89,6.4,41,40.1,120,70,12:00
13:00:00,-36.9,-31.4,2.02,6.45,41,40.1,120,71,13:00
14:00:00,-35,-30,2.08,5.67,41,40.1,120,72,14:00
16:00:00,-36,-31.8,1.98,5.03,41,40.1,120,74,16:00
