Time,SEAFOOD FREEZER (IW1/1),SEAFOOD FREEZER (IW1/1) Coil Temp,SEAFOOD FREEZER (IW1/1) SP.,SEAFOOD FREEZER (IW1/2),SEAFOOD FREEZER (IW1/2) Coil Temp,SEAFOOD FREEZER (IW1/2) SP.,CHICKEN FREEZER (IW2/1),CHICKEN FREEZER (IW2/1) Coil Temp,CHICKEN FREEZER (IW2/1) SP.,CHICKEN FREEZER (IW2/2),CHICKEN FREEZER (IW2/2) Coil Temp,CHICKEN FREEZER (IW2/2) SP.d,CHICKEN FREEZER (IW3/1),CHICKEN FREEZER (IW3/1) Coil Temp,CHICKEN FREEZER (IW3/1) SP.,CHICKEN FREEZER (IW3/2),CHICKEN FREEZER (IW3/2) Coil Temp,CHICKEN FREEZER (IW3/2) SP.,CHICKEN DEFROST 1 (IW4/1),CHICKEN DEFROST 1 (IW4/1) Coil Temp,CHICKEN DEFROST 1 (IW4/1) SP.,CHICKEN DEFROST 1 (IW4/2),CHICKEN DEFROST 1 (IW4/2) Coil Temp,CHICKEN DEFROST 1 (IW4/2) SP.,CHICKEN DEFROST 2 (IW5/1),CHICKEN DEFROST 2 (IW5/1) Coil Temp,CHICKEN DEFROST 2 (IW5/1) SP.,CHICKEN DEFROST 2 (IW5/2),CHICKEN DEFROST 2 (IW5/2) Coil Temp,CHICKEN DEFROST 2 (IW5/2) SP.,SEAFOOD DEFROST (IW6/1),SEAFOOD DEFROST (IW6/1) Coil Temp,SEAFOOD DEFROST (IW6/1) SP.,SEAFOOD DEFROST (IW6/2),SEAFOOD DEFROST (IW6/2) Coil Temp,SEAFOOD DEFROST (IW6/2) SP.,CHILLED (IW8),CHILLED (IW8) SP.,CHILLED (IW9),CHILLED (IW9) SP.,NON ALLERGEN/CHILLED DE-BOX (IW10),NON ALLERGEN/CHILLED DE-BOX (IW10) SP.,NON ALLERGEN/CHILLED DE-BOX (IW11),NON ALLERGEN/CHILLED DE-BOX (IW11) SP.,ANTE ROOM (IW27),ANTE ROOM (IW27) Coil Temp,ANTE ROOM (IW27) SP.,ANTE ROOM (IW28),ANTE ROOM (IW28) Coil Temp,ANTE ROOM (IW28) SP.,ALLERGEN DE-BOX (IW12),ALLERGEN DE-BOX (IW12) SP.,FROZEN DE-BOX (IW13/1),FROZEN DE-BOX (IW13/1) SP.,FROZEN DE-BOX (IW14),FROZEN DE-BOX (IW14) SP.,FROZEN DE-BOX (IW15),FROZEN DE-BOX (IW15) SP.,INCOMING WAREHOUSE (IW16/1-2),INCOMING WAREHOUSE (IW16/1-2) SP.,INCOMING WAREHOUSE (IW17/1-2),INCOMING WAREHOUSE (IW17/1-2) SP.,NON-ALLERGEN (IW19/1-2),NON-ALLERGEN (IW19/1-2) SP.,ALLERGEN 1 (IW20),ALLERGEN 1 (IW20) SP.,A/C STORE (IW21),A/C STORE (IW21) SP.,TROLLEY STORAGE (IW22),TROLLEY STORAGE (IW22) SP.,GRN. OFFICE (IW23),GRN. OFFICE (IW23) SP.,WET GRINE (IW24),WET GRINE (IW24) SP.,WET DECANTING (IW25),WET DECANTING (IW25) SP.,RICE ROOM (IW26),RICE ROOM (IW26) SP.,INCOMING WAREHOUSE 2 (LR29/1-2),INCOMING WAREHOUSE 2 (LR29/1-2) SP.,RORRIDOR (UC-IW30/1),RORRIDOR (UC-IW30/1) SP.,RORRIDOR (UC-IW30/2),RORRIDOR (UC-IW30/2) SP.,RORRIDOR (UC-IW30/3),RORRIDOR (UC-IW30/3) SP.
2026-02-06 00:16:00,-17.6,-17.6,-25.0,-17.7,-18.1,-25.0,-18.3,-15.5,-25.0,-17.7,-18.7,-25.0,-18.6,-19.1,-25.0,-16.2,13.4,-25.0,2.5,2.3,2.0,2.4,2.1,2.0,3.6,3.4,2.0,3.5,3.3,2.0,2.8,2.6,2.0,2.7,2.5,2.0,5.6,4.0,5.8,4.0,5.1,4.0,6.0,4.0,-3.0,-3.2,-5.0,-3.6,-3.4,-5.0,10.3,10.0,10.7,10.0,4.5,4.0,9.3,10.0,10.6,10.0,9.7,9.0,19.7,19.0,23.9,19.0,19.7,20.0,21.5,25.0,22.1,25.0,25.0,18.0,22.0,20.0,19.4,20.0,10.1,10.0,10.5,10.0,10.3,9.0,10.5,9.0
2026-02-06 00:17:00,-17.5,-17.5,-25.0,-17.6,-18.0,-25.0,-18.5,-15.6,-25.0,-17.8,-18.7,-25.0,-18.7,-19.1,-25.0,-16.2,11.4,-25.0,2.5,2.4,2.0,2.5,2.2,2.0,3.7,3.5,2.0,3.6,3.4,2.0,2.9,2.8,2.0,2.9,2.7,2.0,5.7,4.0,5.9,4.0,5.3,4.0,6.0,4.0,-3.0,-4.9,-5.0,-3.2,-2.9,-5.0,10.4,10.0,10.1,10.0,4.1,4.0,9.5,10.0,10.4,10.0,9.6,9.0,19.5,19.0,23.9,19.0,19.7,20.0,21.5,25.0,22.1,25.0,25.0,18.0,20.6,20.0,19.9,20.0,10.4,10.0,10.5,10.0,10.3,9.0,10.5,9.0
2026-02-06 10:32:00,-17.4,-17.6,-25.0,-17.8,-17.2,-25.0,-20.1,-20.3,-25.0,-20.1,-20.0,-25.0,-18.6,-17.6,-25.0,-18.4,-18.1,-25.0,2.6,1.7,2.0,2.6,1.2,2.0,3.9,3.3,2.0,3.5,2.6,2.0,4.1,4.0,2.0,4.0,2.2,2.0,5.9,4.0,5.4,4.0,3.1,4.0,3.8,4.0,-2.8,-5.1,-5.0,-4.7,-5.6,-5.0,11.8,10.0,11.1,10.0,6.0,4.0,10.6,10.0,10.3,10.0,9.6,9.0,20.8,19.0,23.5,19.0,21.7,20.0,21.8,25.0,22.0,25.0,25.0,18.0,20.1,20.0,20.0,20.0,10.9,10.0,11.7,10.0,12.1,9.0,12.3,9.0
2026-02-06 10:33:00,-17.7,-18.5,-25.0,-18.1,-17.2,-25.0,-20.0,-19.7,-25.0,-19.7,-19.7,-25.0,-18.5,-17.6,-25.0,-18.4,-18.1,-25.0,2.3,1.4,2.0,2.4,1.2,2.0,3.8,3.2,2.0,3.4,2.5,2.0,3.9,3.6,2.0,3.8,1.7,2.0,5.9,4.0,5.4,4.0,3.4,4.0,3.0,4.0,-3.0,-5.5,-5.0,-4.9,-5.9,-5.0,11.9,10.0,11.0,10.0,5.8,4.0,10.0,10.0,10.3,10.0,9.6,9.0,20.8,19.0,23.5,19.0,21.7,20.0,21.8,25.0,22.0,25.0,25.1,18.0,21.7,20.0,21.6,20.0,10.7,10.0,11.7,10.0,12.1,9.0,12.3,9.0
2026-02-06 10:34:00,-18.0,-19.3,-25.0,-18.4,-17.3,-25.0,-20.0,-16.1,-25.0,-19.5,-19.7,-25.0,-18.3,-17.6,-25.0,-18.2,-18.1,-25.0,2.1,1.4,2.0,2.2,-0.2,2.0,3.7,3.1,2.0,3.3,2.5,2.0,3.7,3.3,2.0,3.6,2.1,2.0,5.9,4.0,5.4,4.0,3.6,4.0,2.9,4.0,-3.3,-5.7,-5.0,-4.9,-5.5,-5.0,12.0,10.0,10.7,10.0,5.3,4.0,9.7,10.0,10.3,10.0,9.6,9.0,20.8,19.0,23.5,19.0,21.8,20.0,21.8,25.0,22.0,25.0,25.1,18.0,21.7,20.0,21.7,20.0,10.6,10.0,11.7,10.0,12.1,9.0,12.3,9.0
2026-02-06 10:35:00,-18.1,-18.9,-25.0,-18.5,-17.5,-25.0,-20.0,-10.5,-25.0,-19.3,-19.8,-25.0,-18.1,-17.6,-25.0,-18.1,-17.9,-25.0,1.9,1.3,2.0,1.9,0.0,2.0,3.6,3.0,2.0,3.2,2.0,2.0,3.5,3.1,2.0,3.4,1.4,2.0,6.0,4.0,5.4,4.0,3.9,4.0,3.0,4.0,-3.5,-5.9,-5.0,-4.9,-5.2,-5.0,11.7,10.0,10.5,10.0,4.9,4.0,9.8,10.0,10.3,10.0,9.6,9.0,20.9,19.0,23.5,19.0,21.8,20.0,21.8,25.0,22.0,25.0,25.1,18.0,21.7,20.0,21.7,20.0,10.4,10.0,11.7,10.0,12.0,9.0,12.2,9.0
2026-02-06 10:36:00,-18.2,-18.7,-25.0,-18.5,-17.5,-25.0,-20.0,-6.0,-25.0,-19.3,-20.4,-25.0,-17.9,-17.6,-25.0,-17.9,-17.8,-25.0,1.9,1.4,2.0,1.9,0.8,2.0,3.5,2.9,2.0,3.0,1.1,2.0,3.3,2.8,2.0,3.1,0.3,2.0,6.0,4.0,5.4,4.0,4.1,4.0,3.4,4.0,-3.7,-5.9,-5.0,-4.9,-5.1,-5.0,10.6,10.0,10.4,10.0,4.4,4.0,10.0,10.0,10.3,10.0,9.6,9.0,20.9,19.0,23.5,19.0,21.8,20.0,21.7,25.0,22.0,25.0,25.2,18.0,21.8,20.0,21.7,20.0,10.3,10.0,11.7,10.0,12.0,9.0,12.2,9.0
2026-02-06 10:37:00,-18.2,-18.6,-25.0,-18.5,-17.6,-25.0,-20.0,-2.1,-25.0,-19.3,-20.2,-25.0,-17.8,-17.6,-25.0,-17.7,-17.6,-25.0,1.9,1.7,2.0,1.9,1.2,2.0,3.3,2.5,2.0,2.8,0.6,2.0,2.9,2.5,2.0,2.9,-0.2,2.0,5.9,4.0,6.4,4.0,4.4,4.0,3.6,4.0,-3.8,-6.1,-5.0,-4.9,-5.7,-5.0,9.8,10.0,10.2,10.0,4.1,4.0,10.3,10.0,10.3,10.0,9.5,9.0,20.9,19.0,23.5,19.0,21.8,20.0,21.6,25.0,22.0,25.0,25.2,18.0,21.8,20.0,21.7,20.0,10.2,10.0,11.7,10.0,12.1,9.0,12.3,9.0
2026-02-06 10:38:00,-18.3,-18.6,-25.0,-18.8,-17.7,-25.0,-20.0,-0.1,-25.0,-19.3,-19.9,-25.0,-17.6,-17.6,-25.0,-17.6,-17.5,-25.0,2.0,1.8,2.0,2.0,1.4,2.0,3.1,2.4,2.0,2.5,0.3,2.0,2.7,2.1,2.0,2.6,-0.6,2.0,5.6,4.0,6.4,4.0,4.6,4.0,3.9,4.0,-4.1,-6.7,-5.0,-5.1,-6.1,-5.0,9.4,10.0,10.1,10.0,3.9,4.0,10.8,10.0,10.6,10.0,9.5,9.0,20.9,19.0,23.5,19.0,21.8,20.0,21.6,25.0,22.0,25.0,25.2,18.0,21.8,20.0,21.8,20.0,10.1,10.0,11.7,10.0,12.3,9.0,12.5,9.0
2026-02-06 10:39:00,-18.7,-20.4,-25.0,-19.4,-18.0,-25.0,-20.0,0.2,-25.0,-19.3,-19.9,-25.0,-17.5,-17.5,-25.0,-17.5,-17.4,-25.0,2.1,1.9,2.0,2.1,1.6,2.0,2.9,2.2,2.0,2.4,0.0,2.0,2.4,2.0,2.0,2.3,-1.0,2.0,5.4,4.0,6.3,4.0,4.7,4.0,4.2,4.0,-4.5,-7.3,-5.0,-5.2,-5.7,-5.0,9.4,10.0,10.0,10.0,3.9,4.0,11.1,10.0,11.1,10.0,9.5,9.0,20.9,19.0,23.5,19.0,21.8,20.0,21.6,25.0,22.0,25.0,25.2,18.0,21.9,20.0,21.8,20.0,10.0,10.0,11.7,10.0,12.3,9.0,12.5,9.0
