Time,STAGING AREA CHILLED (LR1/1),STAGING AREA CHILLED (LR1/1) SP.,STAGING AREA CHILLED (LR1/2),STAGING AREA CHILLED (LR1/2) SP.,VEG CHILL (LR2/1),VEG CHILL (LR2/1) SP.,VEG CHILL (LR2/2),VEG CHILL (LR2/2) SP.,ALLERGEN CHILLED WEIGH (LR3/1),ALLERGEN CHILLED WEIGH (LR3/1) SP.,ALLERGEN CHILLED WEIGH (LR3/2),ALLERGEN CHILLED WEIGH (LR3/2) SP.,CHICKEN CHILL (LR4/1),CHICKEN CHILL (LR4/1) SP.,CHICKEN CHILL (LR4/2),CHICKEN CHILL (LR4/2) SP.,SEAFOOD CHILL (LR5/1),SEAFOOD CHILL (LR5/1) SP.,SEAFOOD CHILL (LR5/2),SEAFOOD CHILL (LR5/2) SP.,LR WESTE OUT (LR6),LR WESTE OUT (LR6) SP.,VEG TPREPARATION (LR7/1-2),VEG TPREPARATION (LR7/1-2) SP.,CHICKEN PREPARATION (LR8/1-2),CHICKEN PREPARATION (LR8/1-2) SP.,SEAFOOD PREPARATION UC.1 (LR9/1-2),SEAFOOD PREPARATION UC.1 (LR9/1-2) SP.,TROLLEY STORAGE (LR10),TROLLEY STORAGE (LR10) SP.,EQUIPMENT TROLLEY WASH UP (LR16),EQUIPMENT TROLLEY WASH UP (LR16) SP.,WASHING ALLERGEN (LR12),WASHING ALLERGEN (LR12) SP.,WASHING NON ALLERGEN (LR13),WASHING NON ALLERGEN (LR13) SP.,WET WASTE (LR14),WET WASTE (LR14) SP.,TROLLEY WASH UP (LR15),TROLLEY WASH UP (LR15) SP.,NON ALLERGEN 2 (LR11),NON ALLERGEN 2 (LR11) SP.,ALLERGEN WEIGH (LR17),ALLERGEN WEIGH (LR17) SP.,STORAGE ALLERGEN (LR18),STORAGE ALLERGEN (LR18) SP.,STORAGE NON ALLERGEN (LR19),STORAGE NON ALLERGEN (LR19) SP.,STAGING AREA CHILLED (LR20/1-2),STAGING AREA CHILLED (LR20/1-2) SP.,STAGING AREA CHILLED (LR20/3-4),STAGING AREA CHILLED (LR20/3-4) SP.,STAGING AREA CHILLED (LR20/5-6),STAGING AREA CHILLED (LR20/5-6) SP.,STAGING AREA CHILLED (LR20/7-8),STAGING AREA CHILLED (LR20/7-8) SP.,STAGING AREA CHILLED (LR20/9-10),STAGING AREA CHILLED (LR20/9-10) SP.
2026-02-11 00:00:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.6,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.2,40.0,29.9,40.0,29.3,20.0
2026-02-11 00:01:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.6,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.2,40.0,29.9,40.0,29.3,20.0
2026-02-11 00:02:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.9,40.0,29.3,20.0
2026-02-11 00:03:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.9,40.0,29.3,20.0
2026-02-11 00:04:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.9,40.0,29.3,20.0
2026-02-11 00:05:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:06:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:07:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.2,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:08:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:09:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.4,20.0,30.1,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:10:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.4,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.3,20.0,30.0,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:11:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.6,20.0,28.3,20.0,30.0,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:12:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.3,20.0,30.0,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:13:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.3,20.0,30.0,40.0,29.8,40.0,29.3,20.0
2026-02-11 00:14:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.3,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:15:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.3,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:16:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:17:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:18:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:19:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,30.0,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:20:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,29.9,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:21:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.1,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,29.9,40.0,29.7,40.0,29.3,20.0
2026-02-11 00:22:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:23:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:24:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.5,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:25:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.6,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.4,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:26:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.7,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.4,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:27:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.7,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.4,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
2026-02-11 00:28:00,24.4,2.0,25.1,2.2,22.1,2.0,22.2,2.0,29.1,2.0,27.6,2.0,21.1,3.0,21.9,2.0,25.0,2.0,24.1,2.0,27.7,9.0,20.4,9.0,22.5,9.0,26.3,9.0,26.3,19.0,25.6,19.0,27.2,19.0,33.2,19.0,26.4,19.0,28.8,19.0,25.0,19.0,27.5,19.0,30.4,19.0,26.9,19.0,27.4,20.0,28.2,20.0,29.9,40.0,29.6,40.0,29.3,20.0
