Time,FROZEN 5 HIGH 1 UC.1 (OW1/1),FROZEN 5 HIGH 1 UC.1 (OW1/1) Coil Temp,FROZEN 5 HIGH 1 UC.1 (OW1/1) SP.,FROZEN 5 HIGH 1 UC.2 (OW1/2),FROZEN 5 HIGH 1 UC.2 (OW1/2) Coil Temp,FROZEN 5 HIGH 1 UC.2 (OW1/2) SP.,FROZEN 5 HIGH 2 UC.1 (OW2/1),FROZEN 5 HIGH 2 UC.1 (OW2/1) Coil Temp,FROZEN 5 HIGH 2 UC.1 (OW2/1) SP.,FROZEN 5 HIGH 2 UC.2 (OW2/2),FROZEN 5 HIGH 2 UC.2 (OW2/2) Coil Temp,FROZEN 5 HIGH 2 UC.2 (OW2/2) SP.,ANTE RM. 1 UC.1 (OW6/1),ANTE RM. 1 UC.1 (OW6/1) Coil Temp,ANTE RM. 1 UC.1 (OW6/1) SP.,ANTE RM. 1 UC.2 (OW6/2),ANTE RM. 1 UC.2 (OW6/2) Coil Temp,ANTE RM. 1 UC.2 (OW6/2) SP.,MANUAL PALLETISING (OW3/1-2),MANUAL PALLETISING (OW3/1-2) SP.,MANUAL PALLETISING (OW3/3-4),MANUAL PALLETISING (OW3/3-4) SP.,MANUAL PALLETISING (OW3/5-6),MANUAL PALLETISING (OW3/5-6) SP.,MANUAL PALLETISING (OW3/7),MANUAL PALLETISING (OW3/7) SP.,AMBIENT PACKING STORE (OW4/1),AMBIENT PACKING STORE (OW4/1) SP.,AMBIENT PACKING STORE (OW4/2),AMBIENT PACKING STORE (OW4/2) SP.
2026-02-06 00:16:00,-21.5,-22.1,-23.0,-21.5,-21.6,-23.0,-21.8,-22.6,-23.0,-22.7,21.1,-23.0,-4.7,-5.2,-5.0,-3.7,-4.7,-5.0,8.7,9.0,10.0,9.0,10.3,9.0,11.0,9.0,21.7,20.0,21.6,20.0
2026-02-06 00:17:00,-21.3,-21.9,-23.0,-21.4,-21.5,-23.0,-21.8,-22.6,-23.0,-22.7,21.3,-23.0,-4.7,-5.3,-5.0,-3.8,-4.8,-5.0,8.5,9.0,9.7,9.0,10.0,9.0,11.0,9.0,21.7,20.0,21.6,20.0
2026-02-06 10:32:00,-20.6,-23.6,-23.0,-22.3,-2.1,-23.0,-20.7,-17.7,-23.0,-21.1,-20.9,-23.0,-3.8,-4.6,-5.0,-2.9,-3.4,-5.0,11.0,40.0,12.2,40.0,10.6,41.6,10.3,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:33:00,-20.6,-22.7,-23.0,-22.3,-2.5,-23.0,-20.6,-17.7,-23.0,-21.0,-20.8,-23.0,-3.9,-4.7,-5.0,-2.9,-3.0,-5.0,11.6,40.0,12.0,40.0,10.8,41.6,10.6,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:34:00,-20.6,-22.0,-23.0,-22.3,-2.2,-23.0,-21.3,-17.6,-23.0,-21.1,-21.3,-23.0,-4.1,-4.8,-5.0,-2.9,-2.0,-5.0,12.0,40.0,11.9,40.0,11.1,41.6,10.8,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:35:00,-20.5,-21.4,-23.0,-22.3,-1.1,-23.0,-21.9,-17.6,-23.0,-21.5,-21.7,-23.0,-4.2,-5.0,-5.0,-2.9,-0.6,-5.0,12.0,40.0,11.8,40.0,11.2,41.6,11.5,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:36:00,-20.1,-20.9,-23.0,-22.3,-1.1,-23.0,-22.3,-17.6,-23.0,-21.8,-22.1,-23.0,-4.3,-5.1,-5.0,-2.9,1.7,-5.0,12.0,40.0,11.9,40.0,11.4,41.6,11.9,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:37:00,-19.9,-20.4,-23.0,-22.3,-1.2,-23.0,-22.1,-17.6,-23.0,-20.6,-21.2,-23.0,-4.4,-5.2,-5.0,-2.9,3.7,-5.0,12.0,40.0,12.0,40.0,11.5,41.6,12.0,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:38:00,-17.2,-19.6,-23.0,-22.3,-1.2,-23.0,-22.2,-17.6,-23.0,-21.3,-21.8,-23.0,-4.5,-5.3,-5.0,-2.9,4.6,-5.0,12.0,40.0,12.0,40.0,11.6,41.6,12.0,40.2,20.5,20.0,20.5,20.0
2026-02-06 10:39:00,-18.2,-19.3,-23.0,-22.3,-1.7,-23.0,-22.5,-17.6,-23.0,-21.9,-22.4,-23.0,-4.6,-5.4,-5.0,-2.9,8.6,-5.0,12.0,40.0,12.1,40.0,11.8,41.6,12.0,40.2,20.5,20.0,20.5,20.0
