Time,kW,kWh,kVA,PF,kVAR,kVARh,kW1,kW2,kW3,Voltage A-B,Voltage B-C,Voltage C-A,Voltage A-N,Voltage B-N,Voltage C-N,Voltage L-L Avg,Voltage L-N Avg,Current A,Current B,Current C,Current Avg,Frequency
2026-02-11 00:00:00,11.187,79358.419,13.68,0.82,7.82,66384.132,4.34,3.37,3.48,403.73,406.12,407.46,233.81,233.35,235.65,405.77,234.27,21.49,18.05,18.86,19.47,50.05
2026-02-11 00:01:00,24.999,79358.814,31.87,0.78,19.75,66384.442,8.57,8.14,8.28,402.79,405.13,406.59,233.29,232.85,235.06,404.84,233.73,46.08,44.02,46.25,45.45,50.00
2026-02-11 00:02:00,45.785,79359.316,57.82,0.79,35.29,66384.821,15.01,15.31,15.46,401.64,403.86,405.50,232.63,232.26,234.28,403.66,233.06,81.56,81.23,85.30,82.70,50.05
2026-02-11 00:03:00,45.280,79360.106,57.14,0.79,34.82,66385.425,14.84,15.16,15.28,401.44,403.63,405.19,232.48,232.18,234.09,403.42,232.92,80.58,80.37,84.35,81.77,50.04
2026-02-11 00:04:00,42.477,79360.816,54.51,0.78,34.14,66385.982,13.95,14.21,14.31,401.58,403.75,405.34,232.55,232.24,234.20,403.56,233.00,76.94,76.58,80.42,77.98,50.05
2026-02-11 00:05:00,29.875,79361.356,37.53,0.80,22.69,66386.399,10.12,9.85,9.91,402.25,404.49,405.97,232.94,232.54,234.68,404.24,233.39,53.83,52.30,54.65,53.59,50.04
2026-02-11 00:06:00,29.772,79361.857,37.47,0.80,22.73,66386.784,10.10,9.80,9.87,402.66,404.75,406.26,233.17,232.74,234.80,404.56,233.57,53.77,52.18,54.46,53.47,50.05
2026-02-11 00:07:00,29.063,79362.332,36.82,0.79,22.58,66387.148,9.86,9.57,9.63,401.88,404.11,405.56,232.71,232.39,234.39,403.85,233.16,52.93,51.32,53.66,52.64,49.99
2026-02-11 00:08:00,11.228,79362.548,13.73,0.82,7.85,66387.309,4.36,3.39,3.49,404.23,406.55,407.94,234.09,233.69,235.85,406.24,234.54,21.54,18.10,18.91,19.51,50.05
2026-02-11 00:09:00,11.206,79362.738,13.70,0.82,7.84,66387.442,4.34,3.38,3.48,404.27,406.68,407.98,234.13,233.72,235.90,406.31,234.58,21.45,18.08,18.89,19.47,50.05
2026-02-11 00:10:00,11.199,79362.922,13.70,0.82,7.84,66387.570,4.34,3.38,3.47,404.08,406.44,407.55,233.93,233.64,235.68,406.02,234.42,21.48,18.09,18.86,19.48,50.05
2026-02-11 00:11:00,11.196,79363.111,13.70,0.82,7.84,66387.703,4.34,3.38,3.47,404.27,406.57,407.72,234.03,233.74,235.77,406.19,234.51,21.48,18.08,18.85,19.47,50.05
2026-02-11 00:12:00,11.179,79363.291,13.67,0.82,7.82,66387.829,4.34,3.37,3.47,403.83,406.24,407.38,233.79,233.51,235.59,405.81,234.30,21.46,18.06,18.84,19.45,50.04
2026-02-11 00:13:00,11.169,79363.480,13.66,0.82,7.82,66387.962,4.33,3.37,3.47,403.83,406.22,407.33,233.75,233.54,235.57,405.79,234.29,21.44,18.05,18.83,19.44,50.04
2026-02-11 00:14:00,11.164,79363.669,13.66,0.82,7.82,66388.094,4.33,3.37,3.47,403.77,406.18,407.38,233.76,233.52,235.55,405.78,234.28,21.44,18.03,18.83,19.43,50.04
2026-02-11 00:15:00,11.147,79363.858,13.64,0.82,7.81,66388.226,4.32,3.36,3.46,403.63,406.09,407.26,233.68,233.44,235.50,405.66,234.21,21.41,18.02,18.81,19.41,50.02
2026-02-11 00:16:00,11.136,79364.038,13.64,0.82,7.82,66388.352,4.32,3.36,3.46,403.82,406.24,407.40,233.79,233.52,235.59,405.82,234.30,21.40,18.01,18.79,19.40,49.98
2026-02-11 00:17:00,18.704,79364.299,23.50,0.80,14.21,66388.547,6.72,5.85,6.14,403.67,406.15,407.33,233.73,233.48,235.52,405.72,234.24,35.20,31.68,33.42,33.44,50.05
2026-02-11 00:18:00,47.185,79364.878,63.18,0.75,42.00,66389.005,15.61,15.71,15.87,400.84,403.01,404.41,232.08,232.02,233.50,402.75,232.53,90.90,89.23,91.54,90.56,50.05
2026-02-11 00:19:00,74.901,79365.882,97.62,0.77,62.56,66389.845,24.10,25.18,25.62,399.72,401.64,403.23,231.50,231.30,232.69,401.53,231.83,137.60,137.97,145.47,140.35,50.05
2026-02-11 00:20:00,45.735,79366.995,57.99,0.79,35.64,66390.759,15.13,15.06,15.55,402.15,404.35,405.78,232.89,232.60,234.43,404.09,233.30,82.75,80.60,85.18,82.84,50.04
2026-02-11 00:21:00,45.510,79367.729,57.80,0.79,35.62,66391.333,15.06,14.98,15.48,402.18,404.34,405.80,232.90,232.62,234.42,404.11,233.31,82.55,80.30,84.88,82.58,50.01
2026-02-11 00:22:00,52.313,79368.829,66.45,0.79,40.94,66392.186,17.14,17.58,17.60,401.04,403.14,404.62,232.24,232.01,233.66,402.93,232.63,93.67,93.89,98.08,95.21,50.01
2026-02-11 00:23:00,28.756,79369.521,35.80,0.80,21.30,66392.724,9.77,9.49,9.50,402.87,405.12,406.44,233.27,232.99,234.89,404.81,233.72,51.32,49.89,51.95,51.06,50.04
2026-02-11 00:24:00,28.695,79370.007,35.79,0.80,21.37,66393.085,9.77,9.46,9.47,403.24,405.36,406.79,233.50,233.17,235.03,405.13,233.90,51.33,49.82,51.88,51.01,50.01
2026-02-11 00:25:00,11.181,79370.226,13.68,0.82,7.83,66393.243,4.35,3.37,3.47,404.34,406.58,407.79,234.06,233.77,235.80,406.24,234.54,21.47,18.03,18.81,19.44,50.03
2026-02-11 00:26:00,11.175,79370.416,13.68,0.82,7.84,66393.376,4.34,3.37,3.46,404.61,406.82,408.04,234.22,233.92,235.92,406.49,234.69,21.46,18.03,18.79,19.43,50.01
2026-02-11 00:27:00,27.120,79370.643,33.91,0.80,20.33,66393.545,9.29,8.85,8.99,403.56,405.61,407.00,233.64,233.34,235.18,405.39,234.05,48.94,46.88,49.04,48.29,50.00
2026-02-11 00:28:00,28.515,79371.087,35.31,0.81,20.81,66393.875,9.73,9.34,9.45,403.90,405.93,407.21,233.83,233.55,235.29,405.68,234.22,50.78,48.93,51.03,50.25,49.98
2026-02-11 00:29:00,51.586,79371.717,66.38,0.78,41.75,66394.350,16.98,17.23,17.38,402.09,403.82,405.37,232.81,232.54,233.99,403.76,233.11,93.89,93.33,97.51,94.91,50.00
2026-02-11 00:30:00,29.529,79372.237,36.99,0.80,22.26,66394.750,10.08,9.66,9.78,403.73,405.69,406.92,233.64,233.49,235.13,405.44,234.08,53.30,51.29,53.43,52.67,49.96
2026-02-11 00:31:00,29.379,79372.728,36.81,0.80,22.16,66395.121,10.05,9.62,9.71,403.70,405.60,406.91,233.69,233.36,235.13,405.40,234.06,53.05,51.14,53.08,52.42,50.02
2026-02-11 00:32:00,29.328,79373.226,36.77,0.80,22.16,66395.496,10.03,9.60,9.71,403.48,405.44,406.66,233.51,233.25,235.05,405.19,233.94,53.03,51.05,53.08,52.39,49.95
2026-02-11 00:33:00,28.887,79373.723,36.34,0.80,22.03,66395.872,9.85,9.45,9.59,403.92,405.96,407.24,233.82,233.56,235.33,405.70,234.23,52.29,50.29,52.55,51.71,50.04
2026-02-11 00:34:00,29.846,79374.199,37.16,0.80,22.11,66396.229,10.15,9.82,9.88,401.75,403.87,405.03,232.44,232.40,234.14,403.55,232.99,53.58,51.93,53.96,53.16,49.96
2026-02-11 00:35:00,30.344,79374.710,37.72,0.80,22.39,66396.606,10.36,9.96,10.03,403.50,405.48,406.66,233.53,233.28,235.04,405.22,233.95,54.30,52.51,54.42,53.74,50.05
