Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,,ENPD-240003,Vacuum Tumbler  เล็ก No.1,MNT-00004474,1900175,WRKO-00005340,แก้ไขเครื่อง Tumbling เล็ก Vacc ไม่ทำงาน ฝั่งดิบ,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,25 hr 21 min,ENPD-240014,Bowl Cutter (Chopper) No.1,MNT-00004391,1900175,WRKO-00005255,แก้ไขเครื่อง Bolw cutter หน้าจอไม่ติด,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,,ENPD-240015,Steambox1,MNT-00004531,1900175,WRKO-00005399,แก้ไขด้ามประตูตู้ steam box 1 ชำรุด ฝั่งสุก,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,24 hr 24 min,ENPD-240019,Conveyor No.1,MNT-00004406,1900175,WRKO-00005269,แก้ไขสายพาน assembly ไฟฟ้าช็อต,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,,ENPD-240019,Conveyor No.1,MNT-00004522,1900175,WRKO-00005389,แก้ไขตรงรอยต่อสายพาน/เสริมถาดด้านข้างระหว่างสายพาน ฝั่งสุก,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,,ENPD-240023,Bratt pan No.1,MNT-00004477,1900175,WRKO-00005343,แก้ไข Bratt pan 1 สตรีมรั่ว,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,6 hr 11 min,ENPD-240026,Bratt pan No.2,MNT-00004516,1900175,WRKO-00005383,แก้ไขหม้อBratt Pan2 ปุ่มEmergenciaหลวม,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,63 hr 23 min,ENPD-240027,Bratt pan No.3,MNT-00004486,1900175,WRKO-00005352,ใส่น็อตฝาปิดเตา bratt pan 3 ฝั่งดิบ,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,1 hr 47 min,ENPD-240027,Bratt pan No.3,MNT-00004494,1900175,WRKO-00005362,แก้ไข Bratt pan 3 รั่ว ฝั่งดิบ,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,,ENPD-240032,X-Ray No.2,MNT-00004345,1900231,WRKO-00005198,ติดตั้งสายลมเข้าเครื่อง X-Ray,Production Plant1,Production Machine,Inspection,ENG,"",1
Finished,43 hr 37 min,ENPD-240034,Check weigth  No.1,MNT-00004426,1900175,WRKO-00005290,เครื่อง check weight กิโลไม่นิ่ง ฝั่งสุก,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,7 hr 46 min,ENPD-240045,Meatball making No.1,MNT-00004453,1900175,WRKO-00005314,ต่อสายไฟเครื่องทำมีทบอล,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,15 hr 9 min,ENPD-240045,Meatball making No.1,MNT-00004498,1900175,WRKO-00005366,แก้ไขวาล์วน้ำทิ้งเครื่องทำมีทบอล ฝั่งดิบ,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,,ENPD-240045,Meatball making No.1,MNT-00004509,1900175,WRKO-00005376,เชื่อมรอยร้าวของเครื่องทำมีทบอล,Production Plant1,Production Machine,Inspection,ENG,"",4
