Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,54 hr 31 min,ENPD-240014,Bowl Cutter (Chopper) No.1,MNT-00004158,1900175,WRKO-00004980,อุดรูสกรูหน้าจอเครื่อง Blow cutter,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,36 hr 49 min,ENPD-240023,Bratt pan No.1,MNT-00004233,1900175,WRKO-00005063,แก้ไข Brattpan 1 วาล์วรั่ว,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,805 hr 39 min,ENPD-240024,Combi oven No.2,MNT-00004258,1900175,WRKO-00005095,แก้ไข combi 2 ล้างไม่ได้,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,8 hr 0 min,ENPD-240027,Bratt pan No.3,MNT-00004203,1900175,WRKO-00005030,แก้ไขวาวล์ปิดเปิดน้ำหม้อ bratts pan 3 ปิดไม่อยู่,Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,14 hr 22 min,ENPD-240027,Bratt pan No.3,MNT-00004270,1900175,WRKO-00005105,แก้ไขน้ำหยดบริเวณเตา brattpan 3,Production Plant1,ฺBuilding,Inspection,ENG,"",4
Finished,31 hr 1 min,ENPD-240028,Round bratt pan No.1,MNT-00004094,1900224,WRKO-00004909,แจ้งซ่อมหม้อ Round bratt pan (sensor เสีย),Production Plant1,Production Machine,Inspection,ENG,"",4
Finished,1 hr 21 min,ENUT-240009,Sand Filter Tank No.1,MNT-00004091,1900231,WRKO-00004906,เปลี่ยนกรองน้ำ,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240009,Sand Filter Tank No.1,MNT-00004231,1900231,WRKO-00005058,เปลี่ยนกรองน้ำ,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240009,Sand Filter Tank No.1,MNT-00004293,1900231,WRKO-00005135,เปลี่ยนกรองน้ำ,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240009,Sand Filter Tank No.1,MNT-00004314,1900231,WRKO-00005161,เปลี่ยนกรองน้ำ,Water1,Tool and Equipment,Inspection,ENG,"",1
Finished,,ENUT-240010,Sand Filter Tank No.2,MNT-00004145,1900231,WRKO-00004930,เปลี่ยนกรองน้ำ,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240010,Sand Filter Tank No.2,MNT-00004326,1900231,WRKO-00005174,เปลี่ยนกรอง Carbon,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240013,Resin Tank No.1,MNT-00004144,1900231,WRKO-00004929,ล้างเรซินถัง SOFT 1,Water1,Water system,Inspection,ENG,"",1
Finished,,ENUT-240013,Resin Tank No.1,MNT-00004290,1900231,WRKO-00005129,ล้างเรซินถัง SOFT 1,Water1,Water system,Inspection,ENG,"",1
Finished,6 hr 45 min,ENUT-240014,Resin Tank No.2,MNT-00004292,1900231,WRKO-00005134,ล้างเรซินถัง SOFT 2,Water1,Water system,Inspection,ENG,"",1
Finished,41 hr 28 min,ENUT-240092,Evapperator CDU2-UC2.2,MNT-00004204,1900175,WRKO-00005031,แก้ไขแอร์2.2ห้องBatching(non allergenแอร์ไม่เย็น อุณหภูมิสูง,Buiding1,Cooling machine,Inspection,ENG,"",4
